Data Use,Balance Data as of Date,Build Year,Use Year,Performance Year,Performance Period,Performance Period,Survival Date
,,,,, Start Date,End Date,
Excluded,12/31/2008,2009,2010,2009,1/1/2009,12/31/2009,10/31/2009
,12/31/2009,2010,2011,2010,1/1/2010,12/31/2010,10/31/2010
Train,12/31/2010,2011,2012,2011,1/1/2011,12/31/2011,10/31/2011
,12/31/2011,2012,2013,2012,1/1/2012,12/31/2012,10/31/2012
,10/31/2012,2013,2014,2013,11/1/2012,10/31/2013,8/31/2013
,8/31/2013,2014,2015,2014,9/1/2013,8/31/2014,6/30/2014
,8/31/2014,2015,2016,2015,9/1/2014,8/31/2015,6/30/2015
,8/31/2015,2016,2017,2016,9/1/2015,8/31/2016,6/30/2016
,8/31/2016,2017,2018-2021,2017,9/1/2016,8/31/2017,6/30/2017
,8/31/2017,2018,,2018,9/1/2017,8/31/2018,6/30/2018
,6/30/2018,2019,,2019,7/1/2018,6/30/2019,4/30/2019
Test,6/30/2019,2020,2022,2020,7/1/2019,6/30/2020,4/30/2020
