YARDSTOGO,SCOREDIFF,TIMELEFT,TRUEFIELD,CONCEPT_8,CONCEPT_9,YARDSGAINED_Mean,AVG_OVER_TOGO,prob_FIRST,TARGET_1ST,STRAT_1ST,RUN_PASS_RUN,PLAYID_PASS4,PLAYID_PASS5,PLAYID_PASS6,PLAYID_PASS7,PLAYID_PASS8,PLAYID_PASS9,PLAYID_RUN1,PLAYID_RUN2,PLAYID_RUN3,PLAYID_RUN5,TEE_SHORT,TEE_MED,TEE_LONG,TEE_XLONG,DOWNNAME_1st,DOWNNAME_3rd
5,0,480,35,2,0,6.36,1.272,0.437593657,0,MED1st0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
9,-7,1050,45,5,4,4.756098000000001,0.5284553329999999,0.560704228,1,LONG1st1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
4,7,600,5,4,9,8.164835,2.04120875,0.608031758,1,MED3rd1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
11,7,180,45,4,1,6.216667,0.565151545,0.323197127,0,XLONG1st0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1,0,60,45,8,5,13.416667000000002,13.416667000000002,0.39150525,0,SHORT1st0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,-7,1200,35,8,1,12.42,12.42,0.757293242,1,SHORT3rd1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
1,7,1140,5,6,2,13.16,13.16,0.802157265,1,SHORT3rd1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
7,7,60,45,3,1,5.62,0.802857143,0.453857488,0,LONG3rd0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
2,-7,720,45,2,0,6.36,3.18,0.791439442,1,SHORT3rd1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
4,-7,180,15,2,9,5.4195400000000005,1.3548850000000001,0.626799464,1,MED1st1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
9,7,1140,15,6,0,13.08867,1.454296667,0.507527344,1,LONG1st1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
2,7,900,25,8,5,13.416667000000002,6.708333500000001,0.63116136,1,SHORT1st1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
10,-7,90,25,8,1,12.42,1.242,0.623690396,1,LONG3rd1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
7,0,30,45,3,9,5.028571,0.718367286,0.45042403299999995,0,LONG3rd0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
1,7,60,25,5,7,8.276163,8.276163,0.155980523,0,SHORT3rd0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
11,-7,120,45,5,9,8.276163,0.752378455,0.34242248799999997,0,XLONG1st0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
11,0,1200,45,9,9,15.638176999999999,1.421652455,0.493457625,0,XLONG3rd0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
10,0,900,35,1,2,3.166667,0.31666669999999997,0.39662112200000005,0,LONG1st0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
3,-7,975,5,8,3,11.895105000000001,3.965035,0.500733243,1,SHORT1st1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
3,7,60,15,1,3,5.7619050000000005,1.9206349999999999,0.730399945,1,SHORT3rd1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
2,0,840,15,4,9,8.164835,4.0824175,0.59761847,1,SHORT3rd1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
5,7,1140,15,3,9,5.028571,1.0057142,0.557004436,1,MED1st1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
8,7,600,15,2,9,5.4195400000000005,0.6774425000000001,0.817057576,1,LONG1st1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
11,-7,300,45,5,5,4.756098000000001,0.432372545,0.18610612399999998,0,XLONG3rd0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
4,7,600,5,1,0,5.62,1.405,0.544850606,1,MED3rd1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
1,-7,975,25,3,2,6.464789,6.464789,0.39412462200000004,0,SHORT3rd0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
2,-7,720,45,8,9,12.42,6.21,0.67322768,1,SHORT1st1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
9,-7,90,15,5,1,4.756098000000001,0.5284553329999999,0.31955529899999996,0,LONG1st0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
1,0,840,35,5,2,4.756098000000001,4.756098000000001,0.756319946,1,SHORT1st1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
11,0,120,15,6,0,13.08867,1.1898790909999999,0.51809836,1,XLONG1st1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
1,-7,975,45,7,1,10.717391000000001,10.717391000000001,0.6096382779999999,1,SHORT3rd1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
2,7,600,5,1,0,5.62,2.81,0.716112249,1,SHORT1st1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
11,-7,975,15,9,1,14.8,1.345454545,0.37428561,0,XLONG3rd0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
6,0,480,25,5,2,4.756098000000001,0.792683,0.510779812,1,MED3rd1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
2,7,600,45,8,1,12.42,6.21,0.523340029,1,SHORT1st1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
4,-7,720,25,5,3,4.756098000000001,1.1890245000000002,0.504818396,1,MED1st1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
7,7,1200,15,9,1,14.8,2.114285714,0.825186724,1,LONG3rd1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
9,7,180,25,6,7,13.196295999999998,1.466255111,0.493976411,0,LONG1st0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
7,-7,900,35,4,1,6.216667,0.888095286,0.7665707740000001,1,LONG1st1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1,-7,300,5,2,9,5.4195400000000005,5.4195400000000005,0.468861129,0,SHORT3rd0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
5,0,1200,35,8,5,13.416667000000002,2.6833334,0.18800687600000002,0,MED3rd0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
